date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI,Location,Urban/Rural,year,month,day,weekday,AQI_lag_1,AQI_lag_7,AQI_lag_14,AQI_lag_30,AQI_7day_avg,AQI_30day_avg
2022-11-28,73.73091269841265,45.57753968253965,397.2650793650792,21.880277777777764,19.154325396825385,126.36190476190468,76,74,20,139,24,27,139,Chennai,Urban,2022,11,28,0,110.0,93.0,105.0,119.0,91.28571428571429,97.9
2022-11-29,70.13702380952377,41.01011904761902,366.7726190476189,20.08940476190475,17.25738095238094,126.68928571428565,68,70,18,139,22,25,139,Chennai,Urban,2022,11,29,1,139.0,82.0,116.0,148.0,99.42857142857143,97.6
2022-11-30,67.99789682539678,41.633293650793625,339.3083333333331,16.840714285714274,11.674880952380946,107.597619047619,69,68,17,111,15,21,111,Chennai,Urban,2022,11,30,2,139.0,93.0,128.0,115.0,102.0,97.46666666666667
2022-12-01,41.61857142857141,24.448690476190464,324.6107142857141,15.375238095238087,11.587857142857136,81.09880952380948,41,42,16,81,14,19,81,Chennai,Urban,2022,12,1,3,111.0,77.0,151.0,64.0,102.57142857142857,98.03333333333333
2022-12-02,20.51797619047618,12.333809523809515,229.845238095238,11.211071428571422,11.577738095238088,47.89404761904759,21,21,11,48,14,14,48,Chennai,Urban,2022,12,2,4,81.0,51.0,155.0,68.0,102.14285714285714,97.36666666666666
2022-12-03,42.35511904761902,24.24142857142856,327.4392857142855,13.511547619047612,10.40011904761904,94.72142857142852,40,42,16,95,13,17,95,Chennai,Urban,2022,12,3,5,48.0,87.0,154.0,63.0,103.28571428571429,98.43333333333334
2022-12-04,75.78269841269837,46.69666666666664,404.1912698412696,15.968690476190469,13.150952380952374,123.5071428571428,78,76,20,135,16,20,135,Chennai,Urban,2022,12,4,6,95.0,110.0,129.0,53.0,106.85714285714286,101.16666666666667
2022-12-05,71.00674603174599,44.64984126984124,410.47103174603154,17.966785714285702,17.428690476190468,132.7654761904761,74,71,21,148,22,22,148,Chennai,Urban,2022,12,5,0,135.0,139.0,93.0,85.0,108.14285714285714,103.26666666666667
2022-12-06,73.32904761904757,47.366944444444414,433.3650793650791,14.962857142857134,21.155595238095227,150.98571428571418,79,73,22,175,26,19,175,Chennai,Urban,2022,12,6,1,148.0,139.0,82.0,103.0,113.28571428571429,105.66666666666667
2022-12-07,65.86007936507933,42.73706349206346,408.1499999999998,13.237976190476182,25.525595238095224,137.12222222222212,71,66,20,155,32,17,155,Chennai,Urban,2022,12,7,2,175.0,111.0,93.0,99.0,119.57142857142857,107.53333333333333
2022-12-08,68.51341269841267,42.391309523809504,336.4642857142855,11.466071428571423,18.17095238095237,121.27380952380946,71,69,17,131,23,14,131,Chennai,Urban,2022,12,8,3,155.0,81.0,77.0,81.0,126.71428571428571,109.2
2022-12-09,41.1240476190476,23.82440476190475,268.042857142857,12.295595238095231,7.539166666666662,90.74047619047614,40,41,13,91,9,15,91,Chennai,Urban,2022,12,9,4,131.0,48.0,51.0,79.0,132.85714285714286,109.6
2022-12-10,31.46523809523808,19.443690476190465,362.90396825396806,19.613690476190467,15.411190476190468,87.83452380952376,32,31,18,88,19,25,88,Chennai,Urban,2022,12,10,5,91.0,95.0,87.0,92.0,131.85714285714286,109.46666666666667
2022-12-11,37.55285714285712,23.245952380952364,315.08452380952366,17.93357142857142,12.67416666666666,83.19642857142853,39,38,16,83,16,22,83,Chennai,Urban,2022,12,11,6,88.0,135.0,110.0,93.0,124.42857142857143,109.13333333333334
2022-12-12,30.92964285714284,19.13511904761904,269.0726190476189,15.768690476190466,9.722023809523805,64.06547619047616,32,31,13,64,12,20,64,Chennai,Urban,2022,12,12,0,83.0,148.0,139.0,54.0,112.42857142857143,109.46666666666667
2022-12-13,12.782619047619042,7.860357142857139,124.37738095238088,4.891547619047617,5.505714285714283,41.45476190476188,13,13,6,41,7,6,41,Chennai,Urban,2022,12,13,1,64.0,175.0,139.0,70.0,93.28571428571429,108.5
2022-12-14,1.0486904761904756,0.7438095238095234,59.20833333333329,0.0,0.7201190476190472,27.25357142857141,1,1,3,27,1,0,27,Chennai,Urban,2022,12,14,2,41.0,155.0,111.0,105.0,75.0,105.9
2022-12-15,1.4220238095238085,0.9624999999999992,64.52023809523806,0.1257142857142855,0.3551190476190473,34.338095238095214,2,1,3,34,0,0,34,Chennai,Urban,2022,12,15,3,27.0,131.0,81.0,116.0,61.142857142857146,103.16666666666667
2022-12-16,66.28607142857139,38.98309523809522,366.0130952380951,17.84619047619047,16.51857142857142,98.19999999999996,65,66,18,98,21,22,98,Chennai,Urban,2022,12,16,4,34.0,91.0,48.0,128.0,62.142857142857146,102.16666666666667
2022-12-17,72.16630952380949,41.44285714285712,351.4119047619046,16.44690476190475,17.708809523809514,112.15238095238088,69,72,18,118,22,21,118,Chennai,Urban,2022,12,17,5,98.0,88.0,95.0,151.0,66.42857142857143,101.06666666666666
2022-12-18,60.4633333333333,33.39059523809522,276.7261904761903,12.779285714285706,12.500476190476183,114.79880952380944,56,60,14,122,16,16,122,Chennai,Urban,2022,12,18,6,118.0,83.0,135.0,155.0,72.0,99.96666666666667
2022-12-19,60.83190476190472,36.12380952380951,293.7273809523808,15.339166666666657,9.490595238095231,96.27857142857135,60,61,15,96,12,19,96,Chennai,Urban,2022,12,19,0,122.0,64.0,148.0,154.0,76.57142857142857,98.03333333333333
2022-12-20,67.53214285714282,40.8813095238095,348.60714285714266,15.406785714285704,9.92214285714285,100.54523809523803,68,68,17,101,12,19,101,Chennai,Urban,2022,12,20,1,96.0,41.0,175.0,129.0,85.14285714285714,97.1
2022-12-21,61.05499999999997,37.02047619047617,319.09880952380934,13.079761904761895,8.885357142857139,98.322619047619,62,61,16,98,11,16,98,Chennai,Urban,2022,12,21,2,101.0,27.0,155.0,93.0,95.28571428571429,97.26666666666667
2022-12-22,79.6064682539682,48.88119047619045,331.56190476190454,14.42011904761904,13.368928571428564,126.28571428571422,81,80,17,139,17,18,139,Chennai,Urban,2022,12,22,3,98.0,34.0,131.0,82.0,110.28571428571429,99.16666666666667
2022-12-23,69.59884920634916,45.79416666666665,405.71190476190446,12.104523809523805,13.34119047619047,132.6714285714285,76,70,20,148,17,15,148,Chennai,Urban,2022,12,23,4,139.0,98.0,91.0,93.0,117.42857142857143,101.0
2022-12-24,49.83892857142854,30.90559523809522,280.72499999999985,6.902499999999996,12.936904761904756,91.10833333333328,52,50,14,91,16,9,91,Chennai,Urban,2022,12,24,5,148.0,118.0,88.0,77.0,113.57142857142857,101.46666666666667
2022-12-25,24.37273809523808,13.877499999999992,217.82976190476177,9.259047619047614,12.633174603174597,63.01785714285711,23,24,11,63,16,12,63,Chennai,Urban,2022,12,25,6,91.0,122.0,83.0,51.0,105.14285714285714,101.86666666666666
