time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2022-09-01,19.18571428571428,13.385714285714275,223.42857142857127,6.95428571428571,1.848571428571428,86.82857142857138,22.30952380952379243694849720,19.18571428571427972542551288,11.17142857142856410268549894,86.82857142857137944247369888,2.310714285714285110007182311,8.69285714285713773108454916,6,86.82857142857137944247369888
2022-09-02,22.717142857142846,15.822857142857137,225.17142857142844,5.1999999999999975,1.582857142857142,96.91428571428564,26.37142857142856122720786516,22.7171428571428464238124434,11.25857142857142195735420387,96.91428571428563998324534624,1.978571428571427592846276866,6.49999999999999689137553105,6,96.91428571428563998324534624
2022-09-03,18.23142857142856,12.78571428571428,274.542857142857,5.38285714285714,2.1914285714285704,106.34285714285708,21.30952380952379895025690833,18.23142857142855888241683715,13.72714285714284887518488176,109.3277310924368894053687280,2.73928571428571299151144558,6.728571428571424872799866535,6,109.3277310924368894053687280
2022-09-04,20.565714285714275,14.15714285714285,258.68571428571414,5.979999999999997,1.9485714285714275,110.1714285714285,23.59523809523808246524367860,20.56571428571427517795200402,12.93428571428570650336808967,114.9579831932772159863067346,2.435714285714284388362216305,7.47499999999999609201495332,6,114.9579831932772159863067346
2022-09-05,14.999999999999991,10.477142857142852,240.1714285714284,4.579999999999997,1.1171428571428563,98.14285714285708,17.46190476190475256620023477,14.99999999999999111821580300,12.00857142857141984793045708,98.142857142857081953479792,1.396428571428570408752278808,5.724999999999996758148768095,6,98.142857142857081953479792
2022-09-06,15.222857142857134,10.659999999999997,274.0285714285713,9.902857142857137,1.1742857142857137,87.82857142857138,17.76666666666666098232478059,15.22285714285713353888240817,13.70142857142856440688660769,87.82857142857137944247369888,1.467857142857142138669956921,12.37857142857142100922374084,6,87.82857142857137944247369888
2022-09-07,16.351428571428563,11.411428571428566,231.28571428571416,6.317142857142853,1.0657142857142852,75.17142857142852,19.01904761904760950604516741,16.35142857142856342989034601,11.56428571428570750700970393,75.17142857142852108154329472,1.332142857142856462449032051,7.89642857142856646746054139,6,75.17142857142852108154329472
2022-09-08,18.848571428571415,13.142857142857135,239.1142857142856,3.1999999999999984,1.017142857142857,90.74285714285708,21.90476190476189207364162333,18.84857142857141454328484542,11.95571428571427924358872019,90.74285714285707626913790592,1.271428571428571130397244815,3.999999999999998001598555675,6,90.74285714285707626913790592
2022-09-09,19.708571428571418,13.751428571428562,240.4285714285713,5.268571428571425,1.1999999999999993,98.82857142857137,22.91904761904760334800812416,19.70857142857141752756433561,12.02142857142856485763715568,98.82857142857136523161898368,1.499999999999999111821580300,6.58571428571428141296451031,6,98.82857142857136523161898368
2022-09-10,18.25999999999999,12.777142857142852,280.4285714285713,4.437142857142854,1.1342857142857137,93.08571428571425,21.29523809523808708377146104,18.25999999999999090505298227,14.02142857142856247065765274,93.08571428571424632991693216,1.417857142857142094261035936,5.54642857142856771091032897,6,93.08571428571424632991693216
2022-09-11,13.702857142857134,9.491428571428566,288.71428571428555,5.588571428571425,1.1828571428571422,87.17142857142852,15.81904761904760962446895671,13.70285714285713396520804963,14.43571428571427672782334639,87.17142857142852108154329472,1.478571428571427703868579329,6.98571428571428176823587819,6,87.17142857142852108154329472
2022-09-12,9.288571428571425,6.537142857142853,161.45714285714277,4.58285714285714,0.9571428571428566,63.17142857142854,10.89523809523808820879745933,9.288571428571424704045966792,8.072857142857138568192709727,63.17142857142854239782536752,1.196428571428570786228107181,5.72857142857142509484447146,6,63.17142857142854239782536752
2022-09-13,9.619999999999996,6.768571428571424,167.17142857142846,5.639999999999996,0.908571428571428,54.828571428571394,11.28095238095237373698864758,9.619999999999995665689311864,8.358571428571423544973129083,54.82857142857139365332841408,1.135714285714285037842685710,7.049999999999995159427612635,6,54.82857142857139365332841408
2022-09-14,11.89714285714285,8.242857142857138,179.42857142857133,4.505714285714283,1.4171428571428564,81.17142857142852,13.73809523809523073604547487,11.89714285714284969230902789,8.971428571428566312029317942,81.17142857142852108154329472,1.771428571428570464263430040,5.632142857142853342722332855,6,81.17142857142852108154329472
2022-09-15,15.562857142857135,10.854285714285709,247.0285714285713,6.411428571428568,1.2085714285714275,84.65714285714282,18.09047619047618127297027968,15.56285714285713517313070042,12.35142857142856459562452187,84.65714285714281572836625856,1.510714285714284399464446551,8.014285714285710460202949435,6,84.65714285714281572836625856
2022-09-16,18.66285714285713,12.982857142857137,252.342857142857,6.11428571428571,1.8342857142857127,99.2571428571428,21.63809523809522813072211041,18.66285714285713126514565374,12.61714285714285177508742208,99.25714285714279583316965728,2.292857142857140928526860080,7.6428571428571379087202331,6,99.25714285714279583316965728
2022-09-17,24.18857142857141,16.82857142857142,278.5142857142855,6.854285714285711,2.182857142857141,102.6571428571428,28.04761904761903087054027613,24.18857142857141084846261946,13.92571428571427460951781541,103.9075630252100022316346226,2.728571428571426316089798548,8.567857142857139285396783635,6,103.9075630252100022316346226
2022-09-18,25.3942857142857,17.688571428571418,315.6571428571427,9.18571428571428,1.5514285714285705,106.08571428571422,29.48095238095236325648329512,25.3942857142857008057035273,15.78285714285713459137383552,108.9495798319326733944227967,1.939285714285713113635978288,11.4821428571428496567818911,6,108.9495798319326733944227967
