time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2022-09-01,210.282857142857,136.5399999999999,1594.057142857142,69.67428571428567,81.55523809523805,138.39999999999992,312.7230769230768513667638987,173.5219047619046743117602697,79.70285714285709754989284192,156.4705882352940006164905807,100.5184126984126843732762306,87.09285714285709190107809265,6,312.7230769230768513667638987
2022-09-02,182.9914285714285,116.83142857142852,2568.0952380952363,72.61428571428567,89.93714285714282,154.4857142857142,289.4380952380950589031272102,155.3276190476189905590824007,107.1011904761904554028717484,180.1260504201679549730804009,103.3123809523809389550782119,90.7678571428570890589071496,6,289.4380952380950589031272102
2022-09-03,135.5114285714285,82.48571428571424,2439.9142857142847,72.65428571428566,75.29428571428568,126.91428571428564,174.9523809523807926780136768,123.6742857142856640469593306,105.4989285714285573991588763,139.5798319327729999753608033,94.1178571428570975854199787,90.81785714285707911130884895,6,174.9523809523807926780136768
2022-09-04,89.07142857142853,54.52857142857141,1811.3999999999987,87.37428571428566,33.74857142857141,126.22857142857136,90.8809523809523511772567872,89.0714285714285267658851808,90.56999999999993944399534484,138.5714285714284657428031685,42.18571428571426196185711888,107.3742857142856621521787019,6,138.5714285714284657428031685
2022-09-05,259.9571428571427,155.11999999999992,2445.5619047619034,101.33999999999992,85.87619047619043,145.1999999999999,327.0153846153845532941117059,209.9571428571426849885028787,105.5695238095237908915180469,166.4705882352939755385116715,101.9587301587301434816860516,121.3399999999999181454768404,6,327.0153846153845532941117059
2022-09-06,253.01714285714277,150.67428571428565,2332.514285714284,108.81428571428565,82.9590476190476,169.74285714285705,323.5956043956043423839638798,203.0171428571427725273679243,104.1564285714285498229969562,204.3571428571426196185711888,100.9863492063491984633098279,128.8142857142856456675872323,6,323.5956043956043423839638798
2022-09-07,222.62285714285704,132.30571428571423,2555.02857142857,118.32857142857137,84.75142857142852,186.9999999999999,309.4659340659340238324567998,181.7485714285713621999699777,106.9378571428571289558817625,247.4999999999997157829056960,101.5838095238095064587469096,138.3285714285713652316189837,6,309.4659340659340238324567998
2022-09-08,262.56857142857126,148.92857142857133,2525.647619047618,128.74857142857135,80.65714285714282,226.97142857142845,322.2527472527471777888982055,212.5685714285712606397282798,106.5705952380952226121735293,303.5132275132274902194627362,100.2190476190476052427887529,148.7485714285713527260668343,6,322.2527472527471777888982055
2022-09-09,190.5685714285713,131.38857142857137,2421.742857142856,118.99428571428564,84.08571428571423,234.74285714285705,308.7604395604395134656582601,160.3790476190475260409584735,105.2717857142856983099221679,304.9523809523809347865608288,101.3619047619047440396874057,138.9942857142856382779427804,6,308.7604395604395134656582601
2022-09-10,142.45999999999992,98.7371428571428,2646.1142857142845,121.4057142857142,76.1771428571428,217.19999999999987,229.1238095238093327073632584,128.3066666666666151286335662,108.0764285714285566353254353,301.7037037037036805452737974,95.22142857142849692309027888,141.4057142857141968761425232,6,301.7037037037036805452737974
2022-09-11,82.41999999999996,57.15714285714283,1684.857142857142,80.27999999999996,51.574285714285686,186.65714285714276,95.2619047619047165653682896,82.41999999999995907273842022,84.24285714285709714133076886,246.6428571428568972123684944,64.46785714285710788828964724,100.2799999999999585043042316,6,246.6428571428568972123684944
2022-09-12,121.19714285714278,84.8885714285714,2384.4666666666653,106.4714285714285,71.41428571428567,205.39999999999984,182.9619047619046530902172284,114.1314285714285195657187918,104.8058333333333147496801985,293.4999999999995878852132592,89.2678571428570855061934708,126.4714285714285040285176365,6,293.4999999999995878852132592
2022-09-13,47.3085714285714,32.43999999999998,935.8857142857138,69.63999999999996,45.08285714285712,129.71428571428564,54.06666666666663919234755061,47.30857142857139763236773434,46.79428571428568828238780952,143.6974789915965252074623576,56.35357142857140289038397896,87.04999999999994741983755375,6,143.6974789915965252074623576
2022-09-14,40.66285714285712,27.34857142857141,648.3714285714282,56.09999999999997,32.854285714285695,66.08571428571425,45.58095238095235165095194437,40.66285714285712060700461734,32.41857142857140772207458213,66.08571428571424632991693215,41.06785714285711819115931575,70.1249999999999662492200514,6,70.1249999999999662492200514
2022-09-15,99.77999999999994,69.89999999999996,2532.657142857141,98.98857142857138,68.87999999999997,91.4285714285714,132.9999999999998768392591349,99.7799999999999442934495164,106.6582142857142645464563202,91.4285714285714021798412432,86.0999999999999587885213259,118.9885714285713760318685672,6,132.9999999999998768392591349
2022-09-16,91.97428571428568,64.19428571428568,1504.7714285714278,70.93428571428568,56.61999999999996,186.2857142857142,113.9809523809522791755928968,91.97428571428568488954624628,75.23857142857138802227723318,245.7142857142854808216725360,70.77499999999995239363670408,88.66785714285709829596271448,6,245.7142857142854808216725360
2022-09-17,123.09428571428565,84.39142857142852,1882.5142857142848,109.81999999999994,88.91428571428565,232.2285714285713,181.3047619047617331489163917,115.3961904761904312029704064,94.12571428571424592135485909,304.4867724867724655689892609,102.9714285714285513980333538,129.8199999999999363353708759,6,304.4867724867724655689892609
2022-09-18,260.1314285714284,151.7142857142856,2443.085714285713,122.8571428571428,85.77714285714282,218.74285714285705,324.3956043956043143995115175,210.1314285714283869310747832,105.5385714285714149340833501,301.9894179894179718235978658,101.9257142857142734252799225,142.8571428571428043596824864,6,324.3956043956043143995115175
