date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-10-14,22.828518733860836,15.909194749409933,228.58016704150995,4.28769755749918,1.158803973344437,69.86819786200178,27,23,11,70,1,5,70
2022-10-15,27.742691245314386,19.33258851589611,254.72910939886103,3.7440863806747102,1.4040937165070078,85.18345433846989,32,28,13,85,2,5,85
2022-10-16,21.924618136887357,15.321984539775059,244.55672850201248,4.069268315053903,1.4174243676245977,79.77018650562248,26,22,12,80,2,5,80
2022-10-17,24.992021985283852,17.446626525058964,275.02641052339237,4.208307243278254,1.3743994335693428,74.29707544078839,29,25,14,74,2,5,74
2022-10-18,19.88239761765926,13.906997315007603,224.2459137026234,3.7392518922671023,0.7736244509232245,73.34522696098831,23,20,11,73,1,5,73
2022-10-19,17.724417248368695,12.383900724698014,197.48293452727987,3.2014352047757804,0.4923090545605986,72.0576191031513,21,18,10,72,1,4,72
2022-10-20,18.291426525058963,12.78476156323751,213.8048368735244,3.850455586098376,0.7371240844092721,69.38081913091752,21,18,11,69,1,5,69
2022-10-21,14.377402984867382,10.023927594058009,185.6135932805771,3.2229175954463343,0.8887438150770491,71.56817539913908,17,14,9,72,1,4,72
2022-10-22,12.484674874357879,8.704089723726206,178.95050209634834,3.9239263288444537,0.9110530945439379,75.2663025128417,15,12,9,75,1,5,75
2022-10-23,13.835644870192944,9.662167546855455,198.07429479383543,2.551789462723859,0.880421918645007,75.1392028876855,16,14,10,75,1,3,75
2022-10-24,8.163639658475617,5.717342548937929,152.17677656531964,1.4213343801193912,0.5072902846036361,74.03130692766887,10,8,8,74,1,2,74
2022-10-25,15.414341557684262,10.792015027072027,216.82898128557497,6.333280591420227,1.0039728807441322,43.20443301402184,18,15,11,43,1,8,43
2022-10-26,39.88580209912527,27.92110591142573,306.6204116618069,4.078626966541709,3.6042213466611055,80.50779666805478,47,40,15,81,5,5,81
2022-10-27,37.19584117728716,25.966922585033952,278.3592930167979,3.668934546716638,2.658302312925164,84.05155460224887,43,37,14,84,3,5,84
2022-10-28,22.23694351797857,15.473041926974837,242.3343931139797,3.7467035753621087,1.1851659752880717,79.82476459808395,26,22,12,80,1,5,80
2022-10-29,16.804045034013566,11.663785567124782,225.65379433569294,4.110421258734777,1.0928546633347191,74.28687105372744,19,17,11,74,1,5,74
2022-10-30,16.241726047480178,11.269574108010525,219.10715843398532,3.9942773057522234,1.0206734527280277,67.8026311259196,19,16,11,68,1,5,68
2022-10-31,15.56695890601135,10.840762529501573,214.55398403442962,4.109274896570864,1.197533155629596,71.95319836179353,18,16,11,72,1,5,72
2022-11-01,17.12657387199774,11.929796787449646,242.97639303068112,4.443025846637965,1.212974241288349,65.78985605997487,20,17,12,66,2,6,66
2022-11-02,20.322451345272757,14.18018779952794,233.36367891156408,4.814071548891654,1.325383745661527,72.17450637234468,24,20,12,72,2,6,72
2022-11-03,23.782780105511538,16.60648325142298,263.691122448979,4.470183289370159,1.1920458586699958,74.14158392336509,28,24,13,74,1,6,74
2022-11-04,24.846697087324667,17.271164523115328,244.09251434124613,4.602257584339848,1.1385175371373013,71.91172117173382,29,25,12,72,1,6,72
2022-11-05,26.0094644287102,18.065508216021062,273.39419147577337,4.6098716025729916,1.2686521421629846,64.53350970428973,30,26,14,65,2,6,65
2022-11-06,23.209896837428797,16.16026750798275,265.5679616826316,4.617077870331795,1.3923995696237645,64.72830770512272,27,23,13,65,2,6,65
2022-11-07,28.076947002637723,19.525431567402425,275.82375604609126,4.77223407654217,1.609023859502981,72.76254824378715,33,28,14,73,2,6,73
