time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-02 17:00:00,21.992740957934146,15.359979341940823,225.4945619325276,4.8272756351520085,1.0334634568929588,86.75305089546004,26,22,11,87,1,6,87
2022-09-02 18:00:00,20.904322465639268,14.592940674718832,224.98309304456424,4.268202982090786,0.9231041732611388,85.68204448146585,24,21,11,86,1,5,86
2022-09-02 19:00:00,19.281417542690495,13.451417975843365,223.26959566847097,3.60941794252394,0.9178549604331506,84.0393596001664,22,19,11,84,1,5,84
2022-09-02 20:00:00,17.360449012911243,12.117115002082436,220.4117011245309,2.970110653894204,0.9799257642648874,82.25751670137424,20,17,11,82,1,4,82
2022-09-02 21:00:00,15.320501057892509,10.705061357767567,216.30071470220688,2.5303240982923723,1.0512355185339417,80.58932044981239,18,15,11,81,1,3,81
2022-09-02 22:00:00,13.273334510620542,9.27963508538107,211.3558823823402,2.462402199083709,1.1306962099125335,78.29659508538091,15,13,11,78,1,3,78
2022-09-02 23:00:00,11.344437084548076,7.932242232403145,206.8957474385668,2.739336009995828,1.2584032653061192,74.94276118284031,13,11,10,75,2,3,75
2022-09-03 00:00:00,9.76226518950435,6.834558267388571,204.73422940441432,3.1413417076218164,1.4457114202415624,71.66100924614727,11,10,10,72,2,4,72
2022-09-03 01:00:00,8.920475401915844,6.249710553935844,205.8124201582669,3.4481881216159858,1.642473702623903,70.60455676801317,10,9,10,71,2,4,71
2022-09-03 02:00:00,9.088978525614303,6.353536159933345,209.00992786338975,3.55475598500624,1.7706638234069096,72.81086680549754,11,9,10,73,2,4,73
2022-09-03 03:00:00,10.110134777176151,7.045370562265705,212.02015027072008,3.391272503123692,1.7643926364014952,78.1907905039565,12,10,11,78,2,4,78
2022-09-03 04:00:00,11.537007047063696,8.036076034985403,213.3875052061636,2.917444798000827,1.6044697376093258,86.05979042065786,13,12,11,86,2,4,86
2022-09-03 05:00:00,13.062405331112007,9.110728796334838,213.65539891711737,2.231194602249058,1.3467072053311089,94.9448189920864,15,13,11,95,2,3,95
2022-09-03 06:00:00,14.570713602665522,10.17675668471468,214.4477994169091,1.5896876301540983,1.1018637567680103,102.18352886297352,17,15,11,103,1,2,103
2022-09-03 07:00:00,15.686599450229036,10.959915701790898,216.75089779258596,1.2204456809662607,0.9683174010828796,105.89746472303185,18,16,11,109,1,2,109
2022-09-03 08:00:00,15.983986405664268,11.161271336942916,220.3226035818404,1.192204847980005,0.9881527363598476,106.52829587671778,19,16,11,110,1,1,110
2022-09-03 09:00:00,15.568621674302335,10.854191753436044,224.75476084964544,1.47216639733444,1.1672223906705512,105.7431363598498,18,16,11,108,1,2,108
2022-09-03 10:00:00,15.10772024989584,10.521109804248203,231.0155495210323,2.044381707621819,1.4815588837984142,103.97679766763822,18,15,12,106,2,3,106
2022-09-03 11:00:00,15.16499198667218,10.571508471470196,240.2813421074547,2.850385939191997,1.8410478967097,100.71837467721758,18,15,12,101,2,4,101
2022-09-03 12:00:00,15.906362482299004,11.12139281965845,252.04091961682573,3.746305705955844,2.099073052894622,96.15512003331922,19,16,13,96,3,5,96
2022-09-03 13:00:00,17.062155635151978,11.95736429820905,263.5605677634313,4.54776443148687,2.157930728862969,91.63608363181984,20,17,13,92,3,6,92
2022-09-03 14:00:00,17.793597800916242,12.474185489379398,271.6880533111198,5.115472153269461,2.0581611661807537,88.35279766763827,21,18,14,88,3,6,88
2022-09-03 15:00:00,17.174264856309833,12.027389121199471,273.46743923365204,5.290877067888369,1.922128779675131,87.02383340274866,20,17,14,87,2,7,87
2022-09-03 16:00:00,15.086825822573893,10.553543690129093,267.3177142857137,4.960963331945012,1.8236515451895,87.73055160349834,18,15,13,88,2,6,88
2022-09-03 17:00:00,12.501463590170731,8.742118050812142,254.6013461057887,4.219768163265297,1.7450952769679262,89.44800599750083,15,13,13,89,2,5,89
2022-09-03 18:00:00,10.488772811328587,7.335536126613893,239.55660074968705,3.394529945855885,1.6389191836734658,90.1007566847145,12,10,12,90,2,4,90
2022-09-03 19:00:00,9.382315501874196,6.5588114285714125,225.68770612244845,2.758035285297786,1.4760103956684685,88.13089146189068,11,9,11,88,2,3,88
2022-09-03 20:00:00,8.822298175760078,6.160530179092031,213.74250795501823,2.3622861141191107,1.2557624323198635,83.57572078300689,10,9,11,84,2,3,84
2022-09-03 21:00:00,8.443163015410226,5.896604481466042,203.81010512286505,2.1734610578925397,1.0232297209496015,77.46142573927511,10,8,10,77,1,3,77
2022-09-03 22:00:00,8.097774527280281,5.662685081216146,198.19610029154472,2.2625205497709238,0.8878560599750079,71.12564631403565,9,8,10,71,1,3,71
2022-09-03 23:00:00,7.770814027488528,5.436280949604319,199.5177096209908,2.6592233902540543,0.9461608996251536,66.33903473552668,9,8,10,66,1,3,66
2022-09-04 00:00:00,7.507596034985406,5.235402315701778,207.45725414410612,3.1814153436068238,1.198136842982088,65.2937849229486,9,8,10,65,1,4,65
2022-09-04 01:00:00,7.508440083298607,5.211936226572249,218.44456476468088,3.518539075385248,1.533274135776756,69.22574793835885,9,8,11,69,2,4,69
2022-09-04 02:00:00,7.9989405081215965,5.537956451478536,228.85876018325644,3.521882882132437,1.8121315451895004,77.23453827571828,9,8,11,77,2,4,77
2022-09-04 03:00:00,9.187036534777151,6.357173577675952,236.2693331112031,3.210858075801742,1.91206463973344,86.92888029987485,11,9,12,87,2,4,87
2022-09-04 04:00:00,11.08365914202413,7.652929412744672,239.6229710953764,2.6739769096209853,1.7812961932528073,96.2215336942938,13,11,12,96,2,3,96
2022-09-04 05:00:00,13.320643531861691,9.161586472303188,239.22328496459755,2.035928629737604,1.4861201832569728,103.8206640566428,15,13,12,106,2,3,106
2022-09-04 06:00:00,15.26747268638064,10.4610358350687,236.71496409829183,1.518178958767176,1.1931873719283603,108.54548404831296,17,15,12,113,1,2,113
2022-09-04 07:00:00,16.80568623073715,11.492926747188644,233.6116917950848,1.298821091211991,1.0240441815910013,109.4898425655974,19,17,12,114,1,2,114
