time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-02 13:00:00,21.807745447016064,15.20581041137617,202.07483495210263,3.96470068899862,1.2142274319033703,89.81919436425272,25,22,10,90,2,5,90
2022-09-02 14:00:00,22.80333896114708,15.883966716725128,211.2380481275653,4.602787181531492,1.3219567999047976,88.87852832748234,26,23,11,89,2,6,89
2022-09-02 15:00:00,22.7898411414291,15.8827927487356,219.07212402451296,5.049338455643467,1.3144756694234507,88.06831896233687,26,23,11,88,2,6,88
2022-09-02 16:00:00,22.505053614327306,15.704926646278292,223.86808764919311,5.130152640209421,1.197184213244478,87.40904584994323,26,23,11,87,1,6,87
2022-09-02 17:00:00,21.96290759992854,15.337204362943968,225.5247042874986,4.828005353959646,1.03809682346641,86.72278293568132,26,22,11,87,1,6,87
2022-09-02 18:00:00,20.888538151008447,14.581940595228136,225.0495395299571,4.270236974593908,0.9305248984351728,85.63397565300147,24,21,11,86,1,5,86
2022-09-02 19:00:00,19.286332283453262,13.457132903195056,223.2838521853983,3.604201984411247,0.9195941900398616,84.0547638103169,22,19,11,84,1,5,84
2022-09-02 20:00:00,17.366219585648782,12.121456564526646,220.36644906526976,2.970770573213533,0.9750406454453472,82.34245788064473,20,17,11,82,1,4,82
2022-09-02 21:00:00,15.319324468138229,10.702744671624885,216.22363207711007,2.547411487118455,1.0477055093710923,80.56346933539572,18,15,11,81,1,3,81
2022-09-02 22:00:00,13.26450862235969,9.272754849288958,211.31342156006363,2.478925759980952,1.1331596977449836,78.16204337716405,15,13,11,78,1,3,78
2022-09-02 23:00:00,11.330277070268306,7.924403498542249,206.97056123757895,2.7393743540191497,1.263674840245132,74.85533029808987,13,11,10,75,2,3,75
2022-09-03 00:00:00,9.772871970012464,6.842040292735149,204.91092800856725,3.131474973046936,1.4481010759802415,71.75664534063168,11,10,10,72,2,4,72
2022-09-03 01:00:00,8.957122595109153,6.27341069030759,205.91409533646635,3.4451584239899944,1.6414333760932895,70.701123503302,10,9,10,71,2,4,71
2022-09-03 02:00:00,9.113775439281223,6.369691005890383,208.9369832855352,3.5522291350032638,1.7666610740762725,72.86190011304791,11,9,10,73,2,4,73
2022-09-03 03:00:00,10.098156453858484,7.039009367049422,211.8488084060207,3.379425536502639,1.7579638522044334,78.25837708573786,12,10,11,78,2,4,78
2022-09-03 04:00:00,11.520586420420033,8.025588753257546,213.29488562622657,2.903795313857314,1.5997600257035711,86.1617304028081,13,12,11,86,2,4,86
2022-09-03 05:00:00,13.084666735526826,9.126300668054949,213.7100655107984,2.233735509252091,1.3477684088772497,94.87762824537369,15,13,11,95,2,3,95
2022-09-03 06:00:00,14.57506309323492,10.178873014339237,214.55308069256796,1.6032978335217425,1.1066889062890426,101.98466103885258,17,15,11,103,1,2,103
2022-09-03 07:00:00,15.641014563931648,10.928004044029244,216.76513197596176,1.2291486661510045,0.9714229985125212,105.79242660320074,18,16,11,109,1,2,109
2022-09-03 08:00:00,15.935860595228132,11.126208649253256,220.2046319366924,1.1907605526268774,0.990708745641694,106.63392180876984,19,16,11,110,1,1,110
2022-09-03 09:00:00,15.577493543404488,10.860444599512078,224.73691577080908,1.475810644612359,1.1728921197120217,105.82419778425624,18,16,11,109,1,2,109
2022-09-03 10:00:00,15.141816043315238,10.546265054322571,231.16020022133569,2.051702440173731,1.4864019172963605,103.91695557327272,18,15,12,106,2,3,106
2022-09-03 11:00:00,15.202329275182912,10.599743067055362,240.47184170405117,2.853857641220912,1.836855375022307,100.61879205569078,18,15,12,101,2,4,101
2022-09-03 12:00:00,15.955142271672468,11.154979008270333,252.07679266972025,3.7424411390491943,2.087223578746945,96.16862155054412,19,16,13,96,3,5,96
2022-09-03 13:00:00,17.069668533349148,11.960726857142824,263.5437423740101,4.549415446421122,2.150917228297727,91.67662314035788,20,17,13,92,3,6,92
2022-09-03 14:00:00,17.72424695995711,12.424382423513975,271.5702025298976,5.111569070982315,2.0623222895222173,88.40741571012052,21,18,14,88,3,6,88
2022-09-03 15:00:00,17.08104938180515,11.962854804783689,273.21514104361205,5.273129662640553,1.929967536383644,87.11865972035437,20,17,14,87,2,7,87
2022-09-03 16:00:00,15.078219100136804,10.549004684238682,267.0712172785141,4.940974660558087,1.8262149685250144,87.82059391444017,18,15,13,88,2,6,88
2022-09-03 17:00:00,12.564637816147997,8.786467514725983,254.66426366156887,4.224435458558922,1.7435157408222717,89.4036464806328,15,13,13,89,2,5,89
2022-09-03 18:00:00,10.548203282917802,7.37637275135358,239.79286207889496,3.4134543464032743,1.6364757789016435,89.96402331409506,12,11,12,90,2,4,90
2022-09-03 19:00:00,9.38280958743378,6.558183495924298,225.7441701386321,2.765391568751107,1.4720966035580372,88.04613112155624,11,9,11,88,2,3,88
2022-09-03 20:00:00,8.803576262271648,6.148552581186392,213.55252191586777,2.3533048163265238,1.250243343368831,83.54902430653871,10,9,11,84,2,3,84
2022-09-03 21:00:00,8.431864431724852,5.889588062116959,203.78339539477545,2.1769926264056574,1.02433752222288,77.4243104039981,10,8,10,77,1,3,77
2022-09-03 22:00:00,8.092577395608949,5.659213544832493,198.4476627310044,2.280684524305342,0.8961297897304663,71.08951416909599,9,8,10,71,1,3,71
2022-09-03 23:00:00,7.757527883381902,5.424805793776386,199.7964944892004,2.6702293701433844,0.9556325302552476,66.42100698042461,9,8,10,66,1,3,66
2022-09-04 00:00:00,7.505429623371192,5.233672025227568,207.46160090438448,3.1675428609507854,1.2006166840007104,65.4768909144997,9,8,10,65,2,4,65
2022-09-04 01:00:00,7.509953378473233,5.2143673564586015,218.3425327066097,3.504128531207225,1.5318344099482315,69.35353852085422,9,8,11,69,2,4,69
2022-09-04 02:00:00,8.015826929255642,5.551702346879258,228.7407149116433,3.5159599443089093,1.8060572133039756,77.20847810555104,9,8,11,77,2,4,77
2022-09-04 03:00:00,9.219530458499406,6.378343231272664,236.15302540132015,3.2077571906943447,1.901944250847856,86.86070265008601,11,9,12,87,2,4,87
2022-09-04 04:00:00,11.106146475159129,7.666512678764779,239.50802150532445,2.665681783066572,1.7726941831379732,96.21201537454604,13,11,12,96,2,3,96
2022-09-04 05:00:00,13.27675296245608,9.13040720080916,239.23451405723736,2.039646275004456,1.4899862695305486,103.79712380793686,15,13,12,106,2,3,106
2022-09-04 06:00:00,15.233663973344392,10.43855548188252,236.7789638888552,1.5318119469268705,1.2053238978996812,108.41574393526476,17,15,12,112,2,2,112
2022-09-04 07:00:00,16.82984543297431,11.510677185458407,233.62417670732364,1.3074581724281504,1.028420655203186,109.36906688879604,19,17,12,114,1,2,114
2022-09-04 08:00:00,18.25394976474083,12.491918976616848,230.6653661164984,1.393101891354788,0.9502790199321682,107.28296592610192,21,18,12,111,1,2,111
2022-09-04 09:00:00,19.442254331171483,13.338167856726326,228.54681421788476,1.7281448139465645,0.9232045009817312,104.01678965193044,22,19,11,106,1,2,106
2022-09-04 10:00:00,20.087607514011964,13.82326629809004,228.00777230439627,2.26584327958588,0.9631620653299192,101.19837071696284,23,20,11,102,1,3,102
2022-09-04 11:00:00,20.00770178520849,13.806353017671167,229.83699774617648,2.9900161961087552,1.1037415362646483,99.0301588052594,23,20,11,99,1,4,99
2022-09-04 12:00:00,19.26108999345506,13.327597796156326,234.7134758612476,3.861395363360493,1.2754938185279907,96.54320427440916,22,19,12,97,2,5,97
2022-09-04 13:00:00,17.877788847027976,12.415286978996813,242.47937319450156,4.777246021776628,1.3446142374010792,93.0106111596356,21,18,12,93,2,6,93
2022-09-04 14:00:00,16.148570937347486,11.261746757898464,251.1129656738256,5.530930026774542,1.2664456286071244,89.06961613613349,19,16,13,89,2,7,89
2022-09-04 15:00:00,14.616878713869175,10.220800647349291,257.0236737930617,5.830553486523456,1.125880410781219,86.46966838103144,17,15,13,86,1,7,86
2022-09-04 16:00:00,13.59206351448797,9.500058666983968,257.5581372523346,5.480986714583194,1.0142834428511902,86.47467296245586,16,14,13,86,1,7,86
2022-09-04 17:00:00,12.792334858570795,8.92326859427617,253.08872034747355,4.595297645028844,0.9533434402332336,88.65715593740677,15,13,13,89,1,6,89
2022-09-04 18:00:00,11.972487296007582,8.340344355566108,246.31102288332173,3.5475032565002578,0.9309375493544328,91.36115527101776,14,12,12,91,1,4,91
2022-09-04 19:00:00,11.31310052049738,7.881861108347688,239.7573050086267,2.6817510437317704,0.9386725264473108,93.08889301838494,13,11,12,93,1,3,93
2022-09-04 20:00:00,11.10582220455759,7.74622791741534,234.6657912536436,2.130119779615629,0.954000155173437,93.1229109585289,13,11,12,93,1,3,93
2022-09-04 21:00:00,11.23228987921696,7.845280995775548,231.6438307086326,1.880423707264824,0.9516878443505656,91.3238393907298,13,11,12,91,1,2,91
2022-09-04 22:00:00,11.28904598893315,7.888222533944169,231.2030108407204,1.902363289581716,0.9441683508062088,87.9590721961085,13,11,12,88,1,2,88
2022-09-04 23:00:00,11.069618736954808,7.725234040102315,233.2038095555416,2.178849304218474,0.9699982112215118,83.62373222585799,13,11,12,84,1,3,84
2022-09-05 00:00:00,10.875849744511182,7.568858796453834,236.42006407806204,2.69485123103468,1.0319421060272476,78.85806691021574,13,11,12,79,1,3,79
2022-09-05 01:00:00,11.23504974641515,7.796325018861165,239.22115596596592,3.3901281228059643,1.0886910834771195,74.05966232165147,13,11,12,74,1,4,74
2022-09-05 02:00:00,12.247492064972894,8.486810497530765,240.3756830082696,4.071368272743489,1.1095773237341553,70.05616716844153,14,12,12,70,1,5,70
2022-09-05 03:00:00,13.296669204974082,9.221595681799224,239.1966214839048,4.425929139049194,1.1085581084072085,68.3685977509369,15,13,12,68,1,6,68
2022-09-05 04:00:00,13.49414902076512,9.382437363479475,235.46979720354548,4.242534755280527,1.111126375438802,70.20979321473176,16,13,12,70,1,5,70
2022-09-05 05:00:00,12.472156125423895,8.698262857142833,229.85712290355144,3.61299903516391,1.11240858404236,75.33866448979569,14,12,11,75,1,5,75
2022-09-05 06:00:00,10.71192901814717,7.481317412982663,223.8465649788772,2.855543036115896,1.0724334860474771,82.21472971023952,12,11,11,82,1,4,82
2022-09-05 07:00:00,9.19966293663352,6.413764957934173,219.0123450847855,2.2626790932349548,0.9583324700422416,89.08671632534038,11,9,11,89,1,3,89
2022-09-05 08:00:00,8.655815714880678,6.01119861581482,216.45688561194677,1.9889411564229125,0.7919490802641732,94.53062285000269,10,9,11,95,1,2,95
2022-09-05 09:00:00,9.2011815800559,6.376864039983321,217.08047425953404,2.1021812530493174,0.6574269292556653,97.4790283096326,11,9,11,97,1,3,97
2022-09-05 10:00:00,10.56072865448917,7.326273090973976,221.13877059796448,2.5912979363360416,0.635766000356992,97.63245165942732,12,11,11,98,1,3,98
2022-09-05 11:00:00,12.340226753138538,8.582531429047394,227.0385890260004,3.296922967811021,0.7262225653596692,95.87849407508747,14,12,11,96,1,4,96
2022-09-05 12:00:00,13.814072009043812,9.628279266496076,231.26789807104117,3.9554746512762415,0.8345592669720927,93.62632337478404,16,14,12,94,1,5,94
2022-09-05 13:00:00,14.132448491223858,9.860710435413788,230.9635818599386,4.379285170226678,0.8598766437793752,91.59659311477331,16,14,12,92,1,5,92
