time,location,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),PM2.5_SubIndex,PM10_SubIndex,CO_SubIndex,Ozone_SubIndex,SO2_SubIndex,NOx_SubIndex,Checks,AQI
2022-09-01,,112.9614285714285,67.47619047619044,849.9976190476186,43.92369047619045,46.8122222222222,73.12023809523805,124.9206349206347965719032800,108.640952380952332608406626,42.49988095238093066541296139,73.12023809523805084609193728,58.51527777777775440881669056,54.90461309523806399113254884,6,124.9206349206347965719032800
2022-09-02,,104.80023809523804,64.58642857142853,1258.30992063492,49.09238095238092,60.137023809523775,85.73928571428566,115.2880952380950911143978980,103.2001587301586956376316569,62.91549603174599880617279268,85.73928571428565703627100448,75.17127976190471905226786475,61.36547619047615143017537776,6,115.2880952380950911143978980
2022-09-03,,80.54833333333329,45.8513095238095,1171.2321428571422,42.969761904761874,37.23273809523807,88.17142857142852,76.4188492063491627466949770,80.54833333333328937442274764,58.56160714285710833237885708,88.17142857142852108154329472,46.5409226190475866502538338,53.71220238095234300601532596,6,88.17142857142852108154329472
2022-09-04,,60.251071428571386,31.261309523809505,758.2619047619042,44.03321428571426,23.15726190476189,92.98690476190473,52.10218253968250815925481826,60.25107142857138597946686787,37.91309523809521242476705538,92.98690476190472509188111872,28.94657738095236076958371995,55.04151785714282318906498404,6,92.98690476190472509188111872
2022-09-05,,119.37884920634912,66.3344841269841,1139.2285714285708,55.17345238095235,49.0428968253968,87.29047619047613,121.1149470899469804407999618,112.9192328042327441532203617,56.96142857142854065699566490,87.29047619047612727172236192,61.30362103174600285626638652,68.96681547619043506358593731,6,121.1149470899469804407999618
2022-09-06,,132.84511904761897,77.46317460317455,1502.1083333333324,71.62373015873011,55.23980158730157,90.83333333333329,158.2105820105818357509027313,121.8967460317459767793479841,75.10541666666662452556124663,90.833333333333285963817616,69.04975198412696357763707056,89.52966269841263979856194055,6,158.2105820105818357509027313
2022-09-07,,117.87999999999994,70.52380952380948,1406.861904761904,66.69035714285711,56.19150793650791,76.83452380952376,135.0793650793649192110024160,111.9199999999999590727384202,70.34309523809519903991827050,76.83452380952375904143991648,70.23938492063488858718756091,83.36294642857138725844379225,6,135.0793650793649192110024160
2022-09-08,,150.17261904761895,88.71559523809519,1493.3198412698405,74.22091269841265,62.80825396825393,83.922619047619,195.7186507936506340380825956,133.4484126984126343510676331,74.66599206349202599852787898,83.9226190476189941591655952,78.51031746031741143099225155,92.77614087301580880762230662,6,195.7186507936506340380825956
2022-09-09,,125.90999999999993,85.79773809523805,1369.9079365079358,75.27075396825393,62.66142857142854,89.70357142857138,185.992460317460152433947466,117.2733333333332836900808616,68.49539682539679263939547127,89.70357142857137944247369888,78.32678571428567160239708755,94.08844246031740965463541215,6,185.992460317460152433947466
2022-09-10,,88.0048809523809,60.26619047619044,1071.7746031746026,66.16527777777775,53.8758333333333,81.22619047619044,100.8873015873014603963990036,88.00488095238090124894370092,53.58873015873012457532809094,81.226190476190438971570984,67.34479166666662131035536731,82.7065972222221823528798268,6,100.8873015873014603963990036
2022-09-11,,63.84261904761902,43.88702380952378,875.1309523809518,49.49190476190473,45.25369047619045,76.08452380952376,73.1450396825396372454027490,63.84261904761901718075023382,43.75654761904759215696003594,76.08452380952375904143991648,56.56711309523806185950434156,61.86488095238090956229370932,6,76.08452380952375904143991648
2022-09-12,,74.93023809523805,51.841785714285685,1141.098412698412,60.12892857142854,51.218928571428535,73.52380952380948,86.40297619047614100888191993,74.93023809523805311982869172,57.05492063492060283991236247,73.5238095238094757633007248,64.02366071428566840495477664,75.16116071428567302348255908,6,86.40297619047614100888191993
2022-09-13,,38.0763095238095,24.46523809523808,521.6380952380949,36.61297619047617,34.39714285714284,78.80714285714281,40.7753968253968028060777821,38.07630952380949906910245772,26.08190476190474504925020938,78.80714285714280720185342944,42.99642857142854879270998935,45.76622023809520989345855922,6,78.80714285714280720185342944
2022-09-14,,43.68869047619045,27.896428571428554,435.7345238095236,32.24642857142855,25.52190476190475,72.64404761904758,46.49404761904759079508645907,43.68869047619045176134022768,21.78672619047617997622978692,72.64404761904758345281152288,31.90238095238093762873177185,40.3080357142856904317795852,6,72.64404761904758345281152288
2022-09-15,,56.437619047619016,36.39071428571427,919.0869047619044,50.02178571428569,38.22892857142855,89.92499999999995,60.65119047619044560330318442,56.43761904761901604388185660,45.95434523809521776271935778,89.92499999999995452526491136,47.78616071428568368162359548,62.52723214285711428317426908,6,89.92499999999995452526491136
2022-09-16,,66.18821428571425,45.18297619047616,913.3869047619042,48.01488095238093,43.30928571428569,95.57380952380947,75.30496031746026848926097348,66.18821428571425258269300684,45.66934523809521029313884810,95.57380952380947292112978176,54.13660714285711605953110848,60.01860119047615960141683900,6,95.57380952380947292112978176
2022-09-17,,105.3191666666666,70.08011904761901,1268.3107142857136,83.39857142857137,63.2955952380952,92.43571428571424,133.6003968253966907771731106,103.5461111111110691732998627,63.41553571428568680801163282,92.43571428571424064557504608,79.11949404761900339622116008,103.3985714285713726212634356,6,133.6003968253966907771731106
2022-09-18,,146.16698412698403,90.01932539682535,1585.1357142857132,80.28023809523805,62.77281746031742,87.62380952380947,200.0644179894178383468291334,130.7779894179893555398545383,79.25678571428566021594974700,87.62380952380947007895883872,78.466021825396774502792141,100.2802380952380474354868056,6,200.0644179894178383468291334
