time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01 19:00:00,17.897142857142846,12.474285714285708,209.8285714285713,4.122857142857141,0.6999999999999995,65.51428571428568,21,18,10,66,1,5,66
2022-09-01 20:00:00,18.708571428571418,13.034285714285708,207.9142857142856,3.5085714285714267,0.5999999999999996,64.65714285714282,22,19,10,65,1,4,65
2022-09-01 21:00:00,19.068571428571417,13.325714285714277,207.08571428571415,3.034285714285712,0.4999999999999997,62.99999999999997,22,19,10,63,1,4,63
2022-09-01 22:00:00,19.18571428571428,13.385714285714275,209.0285714285713,2.9514285714285697,0.3485714285714283,58.88571428571425,22,19,10,59,0,4,59
2022-09-01 23:00:00,19.039999999999992,13.30857142857142,208.5142857142856,2.8371428571428554,0.4285714285714283,60.085714285714246,22,19,10,60,1,4,60
2022-09-02 00:00:00,18.46285714285713,12.88571428571428,205.97142857142848,2.645714285714284,0.6799999999999996,65.25714285714281,21,18,10,65,1,3,65
2022-09-02 01:00:00,18.174285714285705,12.691428571428563,203.8285714285713,2.448571428571427,1.0771428571428563,71.9428571428571,21,18,10,72,1,3,72
2022-09-02 02:00:00,17.85999999999999,12.42857142857142,204.65714285714276,2.3999999999999986,1.3742857142857134,76.17142857142852,21,18,10,76,2,3,76
2022-09-02 03:00:00,18.08857142857142,12.534285714285703,202.9999999999999,2.1999999999999984,1.582857142857142,81.6571428571428,21,18,10,82,2,3,82
2022-09-02 04:00:00,18.80857142857142,13.019999999999992,197.74285714285705,1.882857142857142,1.4914285714285709,85.91428571428567,22,19,10,86,2,2,86
2022-09-02 05:00:00,19.12857142857142,13.254285714285707,189.74285714285705,1.5085714285714276,1.1999999999999993,89.42857142857137,22,19,9,89,1,2,89
2022-09-02 06:00:00,18.68571428571428,12.999999999999991,182.85714285714275,1.2171428571428562,0.9257142857142852,92.57142857142853,22,19,9,93,1,2,93
2022-09-02 07:00:00,18.011428571428564,12.519999999999992,179.65714285714273,1.065714285714285,0.8085714285714282,95.3428571428571,21,18,9,95,1,1,95
2022-09-02 08:00:00,16.25714285714285,11.319999999999991,180.1714285714285,1.1514285714285706,0.7657142857142852,96.82857142857137,19,16,9,97,1,1,97
2022-09-02 09:00:00,13.531428571428563,9.402857142857137,181.74285714285705,1.4571428571428562,0.7171428571428566,96.91428571428564,16,14,9,97,1,2,97
2022-09-02 10:00:00,12.022857142857134,8.399999999999995,183.8285714285713,2.068571428571427,0.691428571428571,94.82857142857138,14,12,9,95,1,3,95
2022-09-02 11:00:00,15.23999999999999,10.662857142857138,187.59999999999988,2.722857142857141,0.8428571428571424,92.42857142857136,18,15,9,92,1,3,92
2022-09-02 12:00:00,19.91142857142856,13.931428571428564,193.3999999999999,3.299999999999998,1.048571428571428,90.82857142857137,23,20,10,91,1,4,91
2022-09-02 13:00:00,22.717142857142846,15.822857142857137,201.5142857142856,3.868571428571426,1.2171428571428566,89.99999999999994,26,23,10,90,2,5,90
2022-09-02 14:00:00,22.342857142857127,15.551428571428564,211.342857142857,4.591428571428569,1.3257142857142847,88.99999999999994,26,22,11,89,2,6,89
2022-09-02 15:00:00,22.422857142857133,15.62857142857142,219.97142857142845,5.148571428571426,1.348571428571428,87.91428571428567,26,22,11,88,2,6,88
2022-09-02 16:00:00,22.61142857142856,15.77999999999999,224.342857142857,5.1999999999999975,1.2171428571428564,87.25714285714281,26,23,11,87,2,6,87
2022-09-02 17:00:00,22.139999999999983,15.474285714285706,225.17142857142844,4.791428571428568,1.008571428571428,86.82857142857138,26,22,11,87,1,6,87
2022-09-02 18:00:00,20.819999999999983,14.534285714285703,224.74285714285705,4.251428571428569,0.8999999999999995,85.91428571428567,24,21,11,86,1,5,86
2022-09-02 19:00:00,19.317142857142844,13.46857142857142,223.42857142857127,3.648571428571427,0.908571428571428,84.08571428571423,22,19,11,84,1,5,84
2022-09-02 20:00:00,17.3942857142857,12.12857142857142,220.3999999999999,2.982857142857141,0.9999999999999994,81.91428571428567,20,17,11,82,1,4,82
2022-09-02 21:00:00,15.205714285714278,10.64571428571428,216.5142857142856,2.468571428571427,1.0742857142857136,80.25714285714281,18,15,11,80,1,3,80
