date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-21,21.554166666666664,13.029166666666667,148.91666666666666,2.8541666666666665,0.9083333333333333,55.708333333333336,22.0,22,7,56,1,4,56.0
2022-09-22,21.504166666666666,13.308333333333332,156.58333333333334,4.331818181818182,2.9375,50.25,22.0,22,8,50,4,5,50.0
2022-09-23,20.3125,12.604166666666666,197.16666666666666,5.338461538461539,6.870833333333334,41.083333333333336,21.0,20,10,41,9,7,41.0
2022-09-24,16.029166666666665,10.704166666666666,166.20833333333334,6.761904761904762,5.1375,46.791666666666664,18.0,16,8,47,6,8,47.0
2022-09-25,20.633333333333333,13.866666666666667,202.54166666666666,4.906666666666666,3.7541666666666664,44.541666666666664,23.0,21,10,45,5,6,45.0
2022-09-26,23.583333333333332,15.641666666666666,204.25,5.916666666666667,3.6166666666666667,49.291666666666664,26.0,24,10,49,5,7,49.0
2022-09-27,19.108333333333334,13.029166666666667,164.25,5.120833333333333,0.8708333333333332,47.708333333333336,22.0,19,8,48,1,6,48.0
2022-09-28,27.412499999999998,18.616666666666667,199.04166666666666,5.020833333333333,2.3125,64.79166666666667,31.0,27,10,65,3,6,65.0
2022-09-29,46.40833333333333,31.84166666666667,298.4166666666667,4.082352941176471,4.533333333333333,80.25,53.0,46,15,80,6,5,80.0
2022-09-30,54.47083333333333,37.02916666666667,294.6666666666667,4.741666666666666,13.950000000000001,106.875,62.0,54,15,110,17,6,110.0
2022-10-01,40.737500000000004,27.037499999999998,219.79166666666666,4.020833333333333,8.533333333333333,98.91666666666667,45.0,41,11,99,11,5,99.0
2022-10-02,25.675,16.970833333333335,165.08333333333334,4.241666666666666,2.279166666666667,64.375,28.0,26,8,64,3,5,64.0
2022-10-03,32.795833333333334,21.433333333333334,195.08333333333334,4.9,8.525,67.95833333333333,36.0,33,10,68,11,6,68.0
2022-10-04,40.44583333333333,26.587500000000002,222.20833333333334,4.75,12.9375,90.08333333333333,44.0,40,11,90,16,6,90.0
2022-10-05,34.854166666666664,22.8875,217.0,6.094736842105263,18.194444444444443,85.70833333333333,38.0,35,11,86,23,8,86.0
2022-10-06,27.6875,18.529166666666665,221.91666666666666,5.279166666666667,11.282608695652174,95.41666666666667,31.0,28,11,95,14,7,95.0
2022-10-07,14.404166666666667,10.079166666666667,298.4583333333333,8.5375,4.8625,75.75,17.0,14,15,76,6,11,76.0
2022-10-08,17.704166666666666,11.916666666666666,206.75,6.75,6.254166666666666,75.875,20.0,18,10,76,8,8,76.0
2022-10-09,25.104166666666668,17.1125,246.54166666666666,6.757894736842106,5.104166666666667,69.79166666666667,29.0,25,12,70,6,8,70.0
2022-10-10,27.329166666666666,18.529166666666665,234.58333333333334,4.2625,2.2916666666666665,79.70833333333333,31.0,27,12,80,3,5,80.0
2022-10-11,41.3125,28.02916666666667,295.3333333333333,5.380952380952381,6.366666666666667,83.25,47.0,41,15,83,8,7,83.0
2022-10-12,43.737500000000004,30.125,281.7083333333333,4.116666666666666,6.608333333333333,97.79166666666667,50.0,44,14,98,8,5,98.0
2022-10-13,31.825,22.066666666666666,252.33333333333334,3.704166666666667,5.670833333333333,104.20833333333333,37.0,32,13,106,7,5,106.0
2022-10-14,24.0625,16.724999999999998,223.0,2.9291666666666667,6.675,103.95833333333333,28.0,24,11,106,8,4,106.0
2022-10-15,25.170833333333334,17.462500000000002,214.25,3.3375,5.0874999999999995,102.54166666666667,29.0,25,11,104,6,4,104.0
2022-10-16,33.30416666666667,23.195833333333336,240.66666666666666,3.1166666666666667,9.700000000000001,103.58333333333333,39.0,33,12,105,12,4,105.0
2022-10-17,20.233333333333334,14.15,189.41666666666666,3.654166666666667,2.6999999999999997,65.45833333333333,24.0,20,9,65,3,5,65.0
2022-10-18,27.295833333333334,19.108333333333334,269.0,6.294444444444444,4.533333333333333,71.0,32.0,27,13,71,6,8,71.0
2022-10-19,29.425,20.579166666666666,313.125,4.49375,3.9166666666666665,79.95833333333333,34.0,29,16,80,5,6,80.0
2022-10-20,25.849999999999998,18.083333333333332,210.91666666666666,4.416666666666667,2.1416666666666666,73.29166666666667,30.0,26,11,73,3,6,73.0
2022-10-21,25.72083333333333,18.0,196.125,2.4125,2.3291666666666666,88.33333333333333,30.0,26,10,88,3,3,88.0
2022-10-22,39.05833333333333,27.245833333333334,238.54166666666666,3.3791666666666664,11.258333333333333,108.20833333333333,45.0,39,12,112,14,4,112.0
2022-10-23,41.166666666666664,28.270833333333332,252.75,4.9375,9.112499999999999,98.25,47.0,41,13,98,11,6,98.0
2022-10-24,54.125,37.06666666666667,339.3333333333333,6.661111111111111,14.566666666666666,99.66666666666667,62.0,54,17,100,18,8,100.0
2022-10-25,57.78333333333333,39.229166666666664,355.375,7.300000000000001,14.875,113.70833333333333,65.0,58,18,120,19,9,120.0
2022-10-26,52.94166666666666,36.15416666666667,364.125,6.88,10.770833333333334,102.33333333333333,60.0,53,18,103,13,9,103.0
2022-10-27,51.824999999999996,35.204166666666666,358.375,7.419047619047619,8.791666666666666,100.125,59.0,52,18,100,11,9,100.0
2022-10-28,45.375,30.425,299.4166666666667,5.891666666666667,7.9125000000000005,101.625,51.0,45,15,102,10,7,102.0
2022-10-29,44.9625,30.75,282.9583333333333,5.9409090909090905,7.7375,98.45833333333333,51.0,45,14,98,10,7,98.0
2022-10-30,49.17916666666667,33.59166666666667,280.2916666666667,6.066666666666666,8.612499999999999,97.79166666666667,56.0,49,14,98,11,8,98.0
2022-10-31,58.987500000000004,40.520833333333336,303.3333333333333,4.958333333333333,7.316666666666666,104.83333333333333,68.0,59,15,107,9,6,107.0
2022-11-01,56.24166666666667,39.079166666666666,306.625,3.9916666666666667,8.799999999999999,112.79166666666667,65.0,56,15,119,11,5,119.0
2022-11-02,46.30833333333334,31.833333333333332,277.625,4.483333333333333,7.0874999999999995,108.70833333333333,53.0,46,14,113,9,6,113.0
2022-11-03,45.73333333333333,31.150000000000002,267.3333333333333,4.308333333333334,5.5874999999999995,107.16666666666667,52.0,46,13,111,7,5,111.0
2022-11-04,49.604166666666664,33.74166666666667,268.2083333333333,5.0,8.720833333333333,105.33333333333333,56.0,50,13,108,11,6,108.0
2022-11-05,51.145833333333336,35.016666666666666,290.5833333333333,6.336842105263158,7.4125000000000005,99.0,58.0,51,15,99,9,8,99.0
2022-11-06,55.987500000000004,38.0875,343.6666666666667,5.300000000000001,8.575000000000001,87.33333333333333,63.0,56,17,87,11,7,87.0
2022-11-07,68.72916666666667,46.84166666666667,340.875,3.475,12.652380952380952,85.04166666666667,78.0,69,17,85,16,4,85.0
2022-11-08,68.28750000000001,46.925000000000004,369.04545454545456,5.205,18.183333333333334,120.5,78.0,68,18,130,23,7,130.0
2022-11-09,60.19583333333333,41.5625,284.625,4.908695652173913,9.970833333333333,109.16666666666667,69.0,60,14,113,12,6,113.0
2022-11-10,57.99166666666667,40.1,267.875,3.6625,8.270833333333334,112.25,67.0,58,13,118,10,5,118.0
2022-11-11,62.916666666666664,43.675000000000004,292.9583333333333,3.7875,6.570833333333333,109.79166666666667,73.0,63,15,114,8,5,114.0
2022-11-12,64.325,44.69166666666666,291.7916666666667,3.1625,7.770833333333333,112.20833333333333,74.0,64,15,118,10,4,118.0
2022-11-13,72.58333333333333,50.37083333333334,302.625,4.308333333333334,10.137500000000001,105.16666666666667,84.0,73,15,108,13,5,108.0
2022-11-14,76.6125,53.5375,368.375,6.531578947368421,13.875,99.875,89.0,77,18,100,17,8,100.0
2022-11-15,70.71249999999999,49.45416666666667,352.0833333333333,6.236363636363635,12.76086956521739,100.25,82.0,71,18,100,16,8,100.0
2022-11-16,65.83333333333333,45.74166666666667,288.9583333333333,4.791666666666667,8.6,109.875,76.0,66,14,115,11,6,115.0
2022-11-17,48.60833333333333,33.291666666666664,246.91666666666666,3.2291666666666665,5.125,106.125,55.0,49,12,109,6,4,109.0
2022-11-18,35.487500000000004,24.47083333333333,201.16666666666666,3.1125000000000003,6.7,109.20833333333333,41.0,35,10,114,8,4,114.0
2022-11-19,37.333333333333336,26.041666666666668,193.875,3.345833333333333,9.520833333333334,107.83333333333333,43.0,37,10,112,12,4,112.0
2022-11-20,44.46666666666667,30.954166666666666,234.91666666666666,2.9416666666666664,7.983333333333333,113.41666666666667,52.0,44,12,120,10,4,120.0
2022-11-21,54.725,37.7125,278.8333333333333,3.2375000000000003,8.870833333333334,117.375,63.0,55,14,126,11,4,126.0
2022-11-22,56.9375,39.1,275.5,3.3000000000000003,8.466666666666667,111.29166666666667,65.0,57,14,117,11,4,117.0
2022-11-23,53.18333333333334,36.52916666666667,263.4583333333333,4.523809523809524,9.383333333333333,105.58333333333333,61.0,53,13,108,12,6,108.0
2022-11-24,57.13333333333333,39.4625,273.7083333333333,5.345833333333334,12.625,108.66666666666667,66.0,57,14,113,16,7,113.0
2022-11-25,79.60416666666667,55.15833333333333,338.125,4.885714285714285,15.504166666666668,116.54166666666667,92.0,80,17,124,19,6,124.0
2022-11-26,75.2625,52.1875,307.4166666666667,4.216666666666667,16.123809523809523,118.16666666666667,87.0,75,15,127,20,5,127.0
2022-11-27,61.025,42.199999999999996,306.2916666666667,5.59,15.13529411764706,99.91666666666667,70.0,61,15,100,19,7,100.0
2022-11-28,53.32083333333333,37.012499999999996,317.2916666666667,5.26,16.4625,94.125,62.0,53,16,94,21,7,94.0
2022-11-29,57.00833333333333,39.63333333333333,290.7083333333333,3.785,15.810526315789472,106.5,66.0,57,15,110,20,5,110.0
2022-11-30,63.5625,44.1875,287.875,4.995833333333334,14.15,111.45833333333333,74.0,64,14,117,18,6,117.0
2022-12-01,61.49166666666667,42.71666666666667,327.9166666666667,5.86,12.637500000000001,111.375,71.0,61,16,117,16,7,117.0
2022-12-02,71.46666666666667,49.6,350.2916666666667,6.0260869565217385,15.405555555555557,113.0,83.0,71,18,119,19,8,119.0
2022-12-03,87.57083333333333,60.74166666666667,345.2916666666667,4.0249999999999995,14.65,120.91666666666667,102.0,88,17,131,18,5,131.0
2022-12-04,98.675,68.32499999999999,392.2916666666667,5.327272727272727,18.21764705882353,111.66666666666667,128.0,99,20,117,23,7,128.0
2022-12-05,98.375,68.0,367.6666666666667,4.004166666666666,17.3625,112.70833333333333,127.0,98,18,119,22,5,127.0
2022-12-06,96.325,66.575,390.5833333333333,4.295,19.716666666666665,107.875,122.0,96,20,112,25,5,122.0
