date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-11-06,118.98333333333333,90.34615384615384,758.5,20.21666666666667,47.8,49.42857142857143,201,113,38,49,60,25,201
2022-11-07,162.23529411764707,117.05000000000001,1073.8333333333333,33.422222222222224,49.34117647058823,63.34782608695652,290,141,54,63,62,42,290
2022-11-08,154.01333333333332,111.86875,845.875,19.5,53.75625,45.42857142857143,273,136,42,45,67,24,273
2022-11-09,144.54090909090908,101.01818181818182,865.1111111111111,21.816666666666666,41.44347826086957,58.333333333333336,237,130,43,58,52,27,237
2022-11-10,135.525,102.55909090909091,948.7142857142857,28.38888888888889,32.873333333333335,58.25,242,124,47,58,41,35,242
2022-11-11,147.12,102.86,1005.5454545454545,29.7,44.71666666666667,57.82608695652174,243,131,50,58,56,37,243
2022-11-12,185.8,132.00625,1017.6666666666666,29.17142857142857,60.01538461538462,48.0,309,157,51,48,75,36,309
2022-11-13,172.34347826086957,121.78750000000001,1083.5,28.014285714285712,46.4125,52.041666666666664,301,148,54,52,58,35,301
2022-11-14,177.535,123.245,1004.0,37.61,50.41904761904762,56.666666666666664,302,152,50,57,63,47,302
2022-11-15,186.37142857142857,132.2590909090909,1204.3076923076924,32.775,51.27894736842105,38.666666666666664,309,158,60,39,64,41,309
2022-11-16,170.46428571428572,123.24666666666667,1169.1818181818182,27.25714285714286,53.357894736842105,43.42857142857143,302,147,58,43,67,34,302
2022-11-17,183.525,131.98636363636362,1120.6666666666667,33.1125,52.21666666666667,47.04761904761905,309,156,56,47,65,41,309
2022-11-18,124.35833333333333,85.9875,929.5,33.470588235294116,39.612500000000004,71.20833333333333,187,116,46,71,50,42,187
2022-11-19,126.85000000000001,88.4875,940.2,32.05,41.725,64.25,195,118,47,64,52,40,195
2022-11-20,144.62916666666666,101.03333333333335,977.625,31.672727272727272,47.375,60.416666666666664,237,130,49,60,59,40,237
2022-11-21,173.65416666666667,121.39999999999999,981.5,33.08181818181818,54.44583333333333,56.68181818181818,301,149,49,57,68,41,301
2022-11-22,168.46666666666667,117.68,1089.2307692307693,40.20909090909091,51.080000000000005,47.095238095238095,292,146,54,47,64,50,292
2022-11-23,189.21904761904761,137.63750000000002,1165.6666666666667,26.842857142857138,54.74166666666667,42.23809523809524,314,159,58,42,68,34,314
2022-11-24,175.3375,121.66666666666667,1217.1,32.85454545454545,55.05499999999999,66.36363636363636,301,150,61,66,69,41,301
2022-11-25,148.67083333333332,103.86666666666667,1080.4,30.700000000000003,58.11052631578947,68.81818181818181,246,132,54,69,73,38,246
2022-11-26,164.1,122.2529411764706,1101.8333333333333,35.8,60.66923076923077,44.57142857142857,302,143,55,45,76,45,302
2022-11-27,170.42000000000002,118.76500000000001,954.4444444444445,26.58571428571429,49.98421052631579,48.22727272727273,296,147,48,48,62,33,296
2022-11-28,140.49166666666667,97.82083333333333,1019.1666666666666,28.657142857142855,41.9625,52.08695652173913,226,127,51,52,52,36,226
2022-11-29,131.15,91.625,897.7857142857143,39.93636363636364,43.875,48.208333333333336,205,121,45,48,55,50,205
2022-11-30,122.69166666666666,85.825,1208.0588235294117,32.2625,46.24583333333334,59.958333333333336,186,115,60,60,58,40,186
2022-12-01,161.84583333333333,113.09166666666665,1193.375,37.766666666666666,55.733333333333334,70.0,277,141,60,70,70,47,277
2022-12-02,158.49166666666667,110.59583333333335,1026.7368421052631,31.266666666666666,58.84285714285714,71.95833333333333,269,139,51,72,74,39,269
2022-12-03,167.64583333333334,116.64999999999999,984.4,33.38181818181818,61.334782608695654,59.125,289,145,49,59,77,42,289
2022-12-04,172.73749999999998,120.60000000000001,1155.6470588235295,42.40833333333334,58.775,58.95652173913044,300,148,58,59,73,53,300
2022-12-05,163.39583333333334,114.2,1048.9411764705883,32.916666666666664,53.32083333333333,67.91666666666667,281,142,52,68,67,41,281
2022-12-06,166.30416666666667,116.05833333333334,1042.0,33.44615384615385,50.666666666666664,59.54545454545455,287,144,52,60,63,42,287
2022-12-07,185.58260869565217,131.23749999999998,1073.25,34.074999999999996,54.75833333333333,63.0,309,157,54,63,68,43,309
2022-12-08,161.64166666666668,112.86666666666667,1188.157894736842,42.16923076923077,51.62916666666666,64.375,276,141,59,64,65,53,276
2022-12-09,170.35416666666666,118.94166666666666,972.3846153846154,35.199999999999996,51.354166666666664,53.833333333333336,296,147,49,54,64,44,296
2022-12-10,181.52666666666667,126.68,1198.6666666666667,42.550000000000004,63.266666666666666,40.333333333333336,305,154,60,40,79,53,305
2022-12-11,196.1142857142857,139.81333333333333,1079.625,32.68571428571429,63.52,42.523809523809526,315,164,54,43,79,41,315
2022-12-12,186.4375,146.67499999999998,1213.7272727272727,36.8,57.53888888888889,49.578947368421055,321,158,61,50,72,46,321
2022-12-13,72.2578947368421,50.23157894736842,483.7894736842105,10.5,15.8375,44.89473684210526,84,72,24,45,20,13,84
2022-12-14,0.9708333333333333,0.6749999999999999,59.583333333333336,0.0,0.6541666666666667,28.875,1,1,3,29,1,0,29
2022-12-15,1.1458333333333333,0.7999999999999999,62.625,0.0,0.25,33.958333333333336,1,1,3,34,0,0,34
2022-12-16,159.67083333333332,111.28750000000001,1232.0666666666666,29.37142857142857,58.44500000000001,44.09090909090909,271,140,62,44,73,37,271
2022-12-17,180.70416666666665,126.04583333333333,1277.0,36.2375,58.75714285714286,54.0,305,154,64,54,73,45,305
2022-12-18,192.08571428571426,134.15714285714287,1151.6153846153845,44.054545454545455,65.84444444444445,49.31818181818182,311,161,58,49,82,55,311
2022-12-19,196.525,143.63571428571427,1086.5555555555557,30.642857142857142,69.73333333333333,50.95652173913044,318,164,54,51,87,38,318
2022-12-20,186.08888888888887,129.7888888888889,946.5714285714286,28.78333333333333,63.48571428571428,40.36363636363637,308,157,47,40,79,36,308
2022-12-21,202.96666666666667,141.18333333333334,1002.0,23.1,62.88181818181818,34.57142857142857,316,169,50,35,79,29,316
2022-12-22,220.91428571428574,156.875,1277.142857142857,31.233333333333334,63.614285714285714,36.285714285714285,328,181,64,36,80,39,328
2022-12-23,196.1142857142857,142.125,1001.1428571428571,25.05,58.06875,37.142857142857146,317,164,50,37,73,31,317
2022-12-24,197.19473684210524,138.755,1127.4615384615386,35.18181818181818,43.67857142857143,79.13636363636364,314,165,56,79,55,44,314
2022-12-25,114.03750000000001,75.70416666666667,728.5833333333334,33.30416666666667,22.625,108.625,152,109,36,113,28,42,152
2022-12-26,85.0625,57.53333333333333,874.0416666666666,33.586363636363636,22.2,69.25,96,85,44,69,28,42,96
2022-12-27,128.85833333333332,88.925,782.9333333333333,21.936363636363637,30.983333333333334,45.958333333333336,196,119,39,46,39,27,196
2022-12-28,210.00476190476192,146.4142857142857,1207.0526315789473,41.207142857142856,50.8,58.45454545454545,320,173,60,58,63,52,320
2022-12-29,187.17083333333335,130.12916666666666,1160.9333333333334,32.81818181818182,49.387499999999996,60.625,308,158,58,61,62,41,308
2022-12-30,207.85454545454547,144.16363636363636,1296.3636363636363,38.855555555555554,50.7125,41.38095238095238,319,172,65,41,63,49,319
2022-12-31,178.2238095238095,121.97619047619048,1408.05,34.2125,42.82916666666667,47.61904761904762,302,152,70,48,54,43,302
2023-01-01,191.92380952380952,137.34166666666667,1176.9444444444443,43.42666666666666,45.24166666666667,66.5,313,161,59,66,57,54,313
2023-01-02,201.71666666666667,140.05416666666667,1203.25,41.32857142857143,43.87083333333334,61.833333333333336,315,168,60,62,55,52,315
2023-01-03,164.52083333333334,114.16666666666667,1104.590909090909,44.7375,37.925000000000004,52.833333333333336,281,143,55,53,47,56,281
2023-01-04,167.06666666666666,116.3875,1055.9583333333333,44.760000000000005,42.175000000000004,65.875,288,145,53,66,53,56,288
2023-01-05,135.06666666666666,94.25,896.0833333333334,38.63636363636363,55.12083333333334,74.75,214,123,45,75,69,48,214
2023-01-06,106.70416666666667,74.41666666666667,957.0,31.375,43.85833333333333,56.666666666666664,148,104,48,57,55,39,148
2023-01-07,119.48333333333333,83.55416666666666,1049.0,36.166666666666664,43.47083333333333,54.208333333333336,179,113,52,54,54,45,179
2023-01-08,113.43333333333334,79.34583333333333,1177.0,40.98823529411764,45.48333333333333,60.25,164,109,59,60,57,51,164
2023-01-09,134.07500000000002,93.78333333333335,1314.2083333333333,41.878571428571426,51.512499999999996,64.95833333333333,213,123,66,65,64,52,213
2023-01-10,172.03809523809525,125.55217391304348,1146.3076923076924,36.99090909090909,59.07692307692308,54.69565217391305,304,148,57,55,74,46,304
2023-01-11,193.9142857142857,139.22608695652173,1311.7,39.4375,57.30833333333334,46.57142857142857,315,163,66,47,72,49,315
2023-01-12,199.58095238095237,140.15454545454546,1393.6923076923076,45.46923076923077,53.364285714285714,82.8,316,166,70,83,67,57,316
2023-01-13,131.93809523809523,87.99047619047619,1147.875,38.8,34.34347826086957,81.79166666666667,193,121,57,82,43,48,193
2023-01-14,148.05833333333334,100.63333333333333,1056.9166666666667,36.333333333333336,32.05416666666667,44.0,235,132,53,44,40,45,235
