time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2022-09-01T00:00,27.039999999999985,18.37999999999999,208.65714285714273,12.143809523809516,19.897142857142846,11.599999999999993
2022-09-01T01:00,27.01714285714284,18.394285714285704,206.342857142857,12.382857142857135,19.11238095238094,14.657142857142848
2022-09-01T02:00,26.025714285714272,17.717142857142846,200.65714285714273,11.256190476190469,16.813333333333325,20.514285714285702
2022-09-01T03:00,23.959999999999987,16.242857142857133,190.9999999999999,12.682857142857134,16.433333333333326,26.228571428571414
2022-09-01T04:00,21.588571428571417,14.522857142857136,176.9999999999999,14.131428571428565,19.47999999999999,31.5142857142857
2022-09-01T05:00,19.528571428571418,12.968571428571423,158.8857142857142,13.259999999999993,19.47142857142856,35.9142857142857
2022-09-01T06:00,18.428571428571416,12.128571428571421,142.8857142857142,8.899999999999995,13.879999999999992,39.74285714285712
2022-09-01T07:00,18.071428571428562,11.89714285714285,133.74285714285708,6.665714285714281,7.642857142857137,42.25714285714283
2022-09-01T08:00,17.425714285714275,11.508571428571422,130.74285714285708,5.471428571428568,6.262857142857139,43.99999999999997
2022-09-01T09:00,15.442857142857134,10.128571428571423,126.5714285714285,4.477142857142855,5.02285714285714,44.74285714285712
2022-09-01T10:00,12.282857142857132,7.82571428571428,117.68571428571421,3.254285714285712,3.188571428571426,44.08571428571426
2022-09-01T11:00,12.262857142857136,7.894285714285709,120.11428571428564,4.4257142857142835,3.7371428571428544,43.25714285714283
2022-09-01T12:00,14.279999999999992,9.439999999999992,129.4857142857142,6.625714285714283,5.52285714285714,42.74285714285712
2022-09-01T13:00,15.771428571428563,10.57714285714285,137.97142857142848,8.477142857142852,6.89428571428571,42.17142857142855
2022-09-01T14:00,14.491428571428562,9.582857142857137,136.1714285714285,8.42571428571428,6.168571428571425,40.65714285714283
2022-09-01T15:00,13.742857142857135,9.051428571428564,135.6571428571428,8.539999999999996,5.46285714285714,39.4285714285714
2022-09-01T16:00,13.148571428571422,8.648571428571422,133.91428571428565,8.179999999999996,3.942857142857141,38.99999999999997
2022-09-01T17:00,12.799999999999994,8.382857142857137,132.0857142857142,7.89428571428571,2.871428571428569,38.74285714285712
2022-09-01T18:00,12.917142857142851,8.451428571428567,133.34285714285704,8.928571428571422,5.242857142857138,37.17142857142855
2022-09-01T19:00,13.968571428571419,9.217142857142852,138.31428571428563,12.777142857142852,13.994285714285706,33.82857142857141
2022-09-01T20:00,15.905714285714275,10.657142857142848,149.19999999999993,13.69714285714285,20.95142857142856,28.82857142857141
2022-09-01T21:00,18.685714285714276,12.634285714285705,165.05714285714276,13.120952380952373,18.99904761904761,23.5142857142857
2022-09-01T22:00,21.985714285714273,14.988571428571422,184.99999999999991,12.16666666666666,15.910476190476178,18.057142857142846
2022-09-01T23:00,27.20857142857141,18.565714285714275,210.9999999999999,10.938095238095233,17.714285714285705,15.02857142857142
2022-09-02T00:00,31.639999999999983,21.585714285714275,233.0285714285713,7.0990476190476155,23.424761904761894,15.742857142857133
2022-09-02T01:00,33.957142857142834,23.177142857142844,245.65714285714273,6.7247619047619,20.332380952380944,20.399999999999988
2022-09-02T02:00,33.83142857142855,23.1142857142857,248.99999999999986,8.259999999999994,15.677142857142847,28.942857142857125
2022-09-02T03:00,33.90571428571427,23.199999999999985,250.31428571428557,12.199999999999994,11.509523809523802,42.39999999999998
2022-09-02T04:00,34.3742857142857,23.52857142857141,244.17142857142844,13.465714285714279,11.836190476190467,61.599999999999966
2022-09-02T05:00,35.78571428571427,24.485714285714273,230.22857142857129,11.171428571428567,14.092380952380944,85.02857142857138
2022-09-02T06:00,36.82571428571427,25.128571428571412,214.37142857142845,4.691428571428569,15.671428571428564,104.51428571428565
2022-09-02T07:00,35.44571428571427,24.037142857142843,199.57142857142844,1.762857142857141,14.139999999999993,113.85714285714279
2022-09-02T08:00,31.794285714285692,21.337142857142844,185.2285714285713,1.1657142857142848,8.059999999999995,113.82857142857137
2022-09-02T09:00,27.751428571428555,18.265714285714274,171.11428571428561,0.9228571428571423,4.1685714285714255,112.59999999999994
2022-09-02T10:00,24.988571428571415,16.054285714285705,159.82857142857134,0.6571428571428566,2.2314285714285695,111.42857142857136
2022-09-02T11:00,23.43714285714284,14.739999999999991,149.97142857142848,0.8057142857142852,2.225714285714284,105.68571428571423
2022-09-02T12:00,22.55142857142856,13.948571428571421,141.45714285714277,1.302857142857142,2.554285714285713,97.48571428571424
2022-09-02T13:00,21.7142857142857,13.199999999999992,135.05714285714276,1.6628571428571417,2.605714285714284,90.39999999999995
2022-09-02T14:00,21.48285714285713,12.862857142857134,130.91428571428565,2.371428571428569,2.9457142857142835,85.48571428571424
2022-09-02T15:00,20.954285714285703,12.52571428571428,128.5999999999999,6.134285714285711,4.725714285714282,77.42857142857139
2022-09-02T16:00,20.022857142857134,12.04571428571428,130.74285714285708,7.599999999999995,8.322857142857139,66.57142857142853
2022-09-02T17:00,19.068571428571417,11.625714285714281,137.42857142857136,9.915238095238092,16.222857142857134,53.48571428571425
2022-09-02T18:00,18.837142857142844,11.714285714285708,145.22857142857134,6.365714285714281,13.205714285714276,42.285714285714256
2022-09-02T19:00,19.11142857142856,12.168571428571422,153.25714285714275,5.799999999999996,9.15428571428571,36.82857142857141
2022-09-02T20:00,20.14285714285713,13.09999999999999,162.51428571428562,5.159999999999996,6.598095238095233,35.74285714285712
