time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),Location
2022-09-01 00:00:00,104.14571428571423,65.89999999999996,1206.114285714285,63.56571428571425,36.562857142857126,4.11428571428571,Delhi
2022-09-01 01:00:00,93.53999999999996,59.07999999999997,1122.999999999999,59.851428571428535,33.751428571428555,9.971428571428564,Delhi
2022-09-01 02:00:00,80.61142857142852,49.63714285714282,959.5428571428566,52.285714285714256,28.625714285714267,23.199999999999985,Delhi
2022-09-01 03:00:00,73.78857142857139,43.13714285714283,782.5714285714282,43.27428571428569,24.425714285714275,42.14285714285712,Delhi
2022-09-01 04:00:00,67.21999999999996,36.4285714285714,616.7714285714283,33.54285714285712,22.67142857142856,67.77142857142854,Delhi
2022-09-01 05:00:00,64.13999999999996,33.19142857142855,465.0285714285711,23.54571428571427,22.999999999999982,98.28571428571422,Delhi
2022-09-01 06:00:00,61.82285714285711,30.759999999999984,336.1999999999998,15.074285714285704,22.7942857142857,123.91428571428564,Delhi
2022-09-01 07:00:00,60.59428571428568,29.07714285714284,262.2857142857141,10.06857142857142,21.39142857142856,137.62857142857135,Delhi
2022-09-01 08:00:00,59.6685714285714,27.50857142857141,250.3714285714284,9.39714285714285,19.225714285714275,138.39999999999992,Delhi
2022-09-01 09:00:00,59.53428571428569,26.10571428571427,248.3714285714284,12.26857142857142,17.61142857142856,132.34285714285707,Delhi
2022-09-01 10:00:00,58.27714285714282,23.791428571428558,225.71428571428555,19.954285714285703,12.265714285714273,115.59999999999994,Delhi
2022-09-01 11:00:00,59.64285714285711,25.679999999999986,285.2285714285713,29.702857142857127,30.948571428571405,100.79999999999993,Delhi
2022-09-01 12:00:00,65.89714285714281,32.605714285714264,426.9428571428569,37.61142857142855,67.05714285714282,90.17142857142852,Delhi
2022-09-01 13:00:00,84.01142857142851,46.97999999999997,620.5999999999997,43.434285714285686,74.93714285714282,79.99999999999996,Delhi
2022-09-01 14:00:00,112.55428571428564,66.51142857142854,812.5714285714281,49.95142857142854,64.90571428571425,59.97142857142854,Delhi
2022-09-01 15:00:00,143.22571428571422,87.71999999999996,1003.1142857142852,55.51714285714282,56.685714285714255,42.228571428571406,Delhi
2022-09-01 16:00:00,159.4142857142856,99.47428571428566,1119.371428571428,57.05999999999997,63.463809523809495,32.65714285714284,Delhi
2022-09-01 17:00:00,165.68285714285702,104.11428571428564,1175.314285714285,55.54285714285712,53.95619047619044,29.571428571428555,Delhi
2022-09-01 18:00:00,172.5342857142856,108.92285714285708,1241.1428571428564,55.7628571428571,62.98476190476187,24.657142857142844,Delhi
2022-09-01 19:00:00,183.52285714285705,116.9714285714285,1319.8285714285707,59.29142857142853,72.19428571428568,17.342857142857135,Delhi
2022-09-01 20:00:00,192.3857142857142,123.6857142857142,1407.0285714285706,65.26571428571425,81.55523809523805,8.31428571428571,Delhi
2022-09-01 21:00:00,198.1342857142856,128.1257142857142,1485.8285714285707,69.20285714285711,77.627619047619,0.9428571428571412,Delhi
2022-09-01 22:00:00,210.282857142857,136.5399999999999,1594.057142857142,69.67428571428567,75.08571428571425,-3.942857142857143,Delhi
2022-09-01 23:00:00,180.44285714285704,117.47999999999992,1432.9428571428564,63.32285714285711,79.76571428571424,-2.628571428571429,Delhi
2022-09-02 00:00:00,129.79714285714277,84.3371428571428,1140.1999999999994,54.91714285714283,85.67999999999995,2.7999999999999967,Delhi
2022-09-02 01:00:00,88.20571428571422,57.12571428571425,855.6571428571423,46.24285714285711,79.11714285714282,11.999999999999991,Delhi
2022-09-02 02:00:00,82.90285714285709,53.21714285714283,745.5142857142853,38.47142857142855,60.43714285714282,25.942857142857125,Delhi
2022-09-02 03:00:00,72.89999999999995,45.345714285714266,594.6857142857139,29.771428571428547,45.64285714285712,47.31428571428569,Delhi
2022-09-02 04:00:00,67.09142857142852,39.2485714285714,485.2571428571425,22.8142857142857,38.019999999999975,75.59999999999995,Delhi
2022-09-02 05:00:00,68.00571428571425,37.637142857142834,418.6571428571426,18.162857142857128,37.911428571428544,109.71428571428564,Delhi
2022-09-02 06:00:00,67.87428571428568,36.45142857142855,376.4857142857141,16.054285714285705,41.48285714285712,138.39999999999992,Delhi
2022-09-02 07:00:00,67.20857142857139,36.12285714285712,374.6285714285712,17.751428571428562,49.29999999999997,153.62857142857135,Delhi
2022-09-02 08:00:00,69.0085714285714,37.93142857142855,414.2571428571426,23.579999999999988,61.63999999999996,154.4857142857142,Delhi
2022-09-02 09:00:00,71.47999999999996,39.79428571428569,459.4857142857141,30.74857142857141,74.21142857142853,149.51428571428562,Delhi
2022-09-02 10:00:00,71.42285714285711,39.43142857142855,498.9999999999997,37.83428571428568,89.93714285714282,138.34285714285707,Delhi
2022-09-02 11:00:00,66.45999999999997,36.26285714285712,468.8285714285711,45.75999999999997,72.33714285714282,116.82857142857137,Delhi
2022-09-02 12:00:00,65.73999999999995,36.95428571428569,578.1142857142852,53.05142857142855,45.60285714285711,93.62857142857136,Delhi
2022-09-02 13:00:00,75.41428571428565,44.87428571428568,978.2285714285708,58.52857142857139,31.4285714285714,73.8571428571428,Delhi
2022-09-02 14:00:00,96.6171428571428,59.41714285714282,1894.3142857142848,62.75714285714282,52.26285714285712,56.88571428571425,Delhi
2022-09-02 15:00:00,122.34285714285708,76.40857142857139,2193.142857142856,67.39428571428569,71.75714285714281,39.142857142857125,Delhi
