Urban/Rural,pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex
Rural,19.568972928823978,17.383343542788367,8.021944954917197,49.43633061439426,2.5269744548688355,3.0624335042073705
Urban,23.46956508306751,19.533030052597837,8.850300834923111,35.11842237377677,5.921601414966827,7.107080240667939
