,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),AQI
pm10 (μg/m³),1.0,0.9326918419629934,0.8061304916905638,0.7476585852737714,0.7599946924895867,0.31817843678568664,0.8247735311700958
pm2_5 (μg/m³),0.9326918419629934,1.0,0.8792625428571138,0.7579429363031928,0.7899866882459057,0.331810207572907,0.8776005126616011
carbon_monoxide (μg/m³),0.8061304916905638,0.8792625428571138,1.0,0.9036071981051882,0.8771473781082615,0.047944688074166686,0.7659247921374596
nitrogen_dioxide (μg/m³),0.7476585852737714,0.7579429363031928,0.9036071981051882,1.0,0.9597824793522619,-0.10356473642626937,0.6176766442052986
sulphur_dioxide (μg/m³),0.7599946924895867,0.7899866882459057,0.8771473781082615,0.9597824793522619,1.0,-0.017835965942041333,0.6552695234921074
ozone (μg/m³),0.31817843678568664,0.331810207572907,0.047944688074166686,-0.10356473642626937,-0.017835965942041333,1.0,0.5100549622624688
AQI,0.8247735311700958,0.8776005126616011,0.7659247921374596,0.6176766442052986,0.6552695234921074,0.5100549622624688,1.0
